Identifiant arc,Libelle,Date et heure de comptage,Débit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Libelle noeud amont,Identifiant noeud aval,Libelle noeud aval,Etat arc,Date debut dispo data,Date fin dispo data,geo_point_2d,geo_shape
5472,AE_A1_bretelle_8,2025-04-03T21:00:00+02:00,,,Inconnu,3557,Chapelle_bretelle_8,2839,AE_A1_bretelle_8,Ouvert,1996-11-07,2023-01-01,"48.901200511043655, 2.3577520024414915","{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5472,AE_A1_bretelle_8,2025-04-03T22:00:00+02:00,,,Inconnu,3557,Chapelle_bretelle_8,2839,AE_A1_bretelle_8,Ouvert,1996-11-07,2023-01-01,"48.901200511043655, 2.3577520024414915","{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5472,AE_A1_bretelle_8,2025-04-03T23:00:00+02:00,,,Inconnu,3557,Chapelle_bretelle_8,2839,AE_A1_bretelle_8,Ouvert,1996-11-07,2023-01-01,"48.901200511043655, 2.3577520024414915","{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5472,AE_A1_bretelle_8,2025-04-04T00:00:00+02:00,,,Inconnu,3557,Chapelle_bretelle_8,2839,AE_A1_bretelle_8,Ouvert,1996-11-07,2023-01-01,"48.901200511043655, 2.3577520024414915","{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5459,AE_A13_bretelle_5,2025-04-03T18:00:00+02:00,,,Inconnu,3233,A13_W,2859,AE_A13,Ouvert,1996-11-06,2023-01-01,"48.84798974381635, 2.2520726124359323","{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5459,AE_A13_bretelle_5,2025-04-03T20:00:00+02:00,,,Inconnu,3233,A13_W,2859,AE_A13,Ouvert,1996-11-06,2023-01-01,"48.84798974381635, 2.2520726124359323","{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5459,AE_A13_bretelle_5,2025-04-03T22:00:00+02:00,,,Inconnu,3233,A13_W,2859,AE_A13,Ouvert,1996-11-06,2023-01-01,"48.84798974381635, 2.2520726124359323","{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5459,AE_A13_bretelle_5,2025-04-04T00:00:00+02:00,,,Inconnu,3233,A13_W,2859,AE_A13,Ouvert,1996-11-06,2023-01-01,"48.84798974381635, 2.2520726124359323","{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5459,AE_A13_bretelle_5,2025-04-03T17:00:00+02:00,,,Inconnu,3233,A13_W,2859,AE_A13,Ouvert,1996-11-06,2023-01-01,"48.84798974381635, 2.2520726124359323","{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5459,AE_A13_bretelle_5,2025-04-03T19:00:00+02:00,,,Inconnu,3233,A13_W,2859,AE_A13,Ouvert,1996-11-06,2023-01-01,"48.84798974381635, 2.2520726124359323","{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5459,AE_A13_bretelle_5,2025-04-03T21:00:00+02:00,,,Inconnu,3233,A13_W,2859,AE_A13,Ouvert,1996-11-06,2023-01-01,"48.84798974381635, 2.2520726124359323","{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5459,AE_A13_bretelle_5,2025-04-03T23:00:00+02:00,,,Inconnu,3233,A13_W,2859,AE_A13,Ouvert,1996-11-06,2023-01-01,"48.84798974381635, 2.2520726124359323","{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5482,A3_bretelle_1,2025-10-10T22:00:00+02:00,,,Inconnu,2875,Bagnolet_bretelles_1-6,3538,A3_bretelle_1,Ouvert,1996-11-08,2023-01-01,"48.86588209056, 2.418085012157434","{""coordinates"": [[2.421290489346583, 48.865899578530374], [2.4206712341039225, 48.86580365409939], [2.419740137482431, 48.865665528921824], [2.4187736369189, 48.86566126186211], [2.4176833049842372, 48.86578522372191], [2.416251572315637, 48.866070129276466], [2.415460236345195, 48.86624159292539], [2.4149119733885427, 48.86641218936755]], ""type"": ""LineString""}"
5465,AE_A3_bretelle_1,2025-11-04T13:00:00+01:00,1392.0,7.25,Fluide,3538,A3_bretelle_1,2829,AE_A3,Ouvert,1996-11-07,2023-01-01,"48.86737864580919, 2.413970780415665","{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
5472,AE_A1_bretelle_8,2025-11-04T13:00:00+01:00,,,Inconnu,3557,Chapelle_bretelle_8,2839,AE_A1_bretelle_8,Ouvert,1996-11-07,2023-01-01,"48.901200511043655, 2.3577520024414915","{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5462,AE_A4_bretelle_11,2025-01-06T09:00:00+01:00,,19.65,Pré-saturé,2865,A4W,3156,Bercy_bretelles_7-11,Ouvert,1996-11-07,2023-01-01,"48.82639270403309, 2.3922636521497997","{""coordinates"": [[2.392472238153124, 48.82564016646078], [2.392089926647914, 48.82636848688473], [2.3921779059713386, 48.82677282393933], [2.3925203327652027, 48.827080538995425]], ""type"": ""LineString""}"
5465,AE_A3_bretelle_1,2025-01-06T09:00:00+01:00,1886.0,10.85,Fluide,3538,A3_bretelle_1,2829,AE_A3,Ouvert,1996-11-07,2023-01-01,"48.86737864580919, 2.413970780415665","{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
5482,A3_bretelle_1,2025-01-06T09:00:00+01:00,,,Inconnu,2875,Bagnolet_bretelles_1-6,3538,A3_bretelle_1,Ouvert,1996-11-08,2023-01-01,"48.86588209056, 2.418085012157434","{""coordinates"": [[2.421290489346583, 48.865899578530374], [2.4206712341039225, 48.86580365409939], [2.419740137482431, 48.865665528921824], [2.4187736369189, 48.86566126186211], [2.4176833049842372, 48.86578522372191], [2.416251572315637, 48.866070129276466], [2.415460236345195, 48.86624159292539], [2.4149119733885427, 48.86641218936755]], ""type"": ""LineString""}"
6124,A6A_Y_Orleans_bretelle_4,2025-07-24T00:00:00+02:00,,,Inconnu,3175,SE_A6A-Orleans_bretelle_4,3153,A6A_Y,Invalide,1998-04-10,2023-01-01,"48.81652476360582, 2.3345868832213594","{""coordinates"": [[2.330453224777017, 48.818847726799376], [2.3316674305495932, 48.818589336420175], [2.3324914986646426, 48.81840219106517], [2.33308186522745, 48.81813213565216], [2.333885425078611, 48.81761440558156], [2.3350508115237667, 48.81692693625309], [2.3358735972736913, 48.816701635474075], [2.3364093884501678, 48.816594921346734], [2.336696421521, 48.81623184941679], [2.3360197650504344, 48.81413502455946], [2.3360522881802117, 48.81337859574719], [2.336341494495659, 48.812574970636696]], ""type"": ""LineString""}"
6124,A6A_Y_Orleans_bretelle_4,2025-07-23T22:00:00+02:00,,,Inconnu,3175,SE_A6A-Orleans_bretelle_4,3153,A6A_Y,Invalide,1998-04-10,2023-01-01,"48.81652476360582, 2.3345868832213594","{""coordinates"": [[2.330453224777017, 48.818847726799376], [2.3316674305495932, 48.818589336420175], [2.3324914986646426, 48.81840219106517], [2.33308186522745, 48.81813213565216], [2.333885425078611, 48.81761440558156], [2.3350508115237667, 48.81692693625309], [2.3358735972736913, 48.816701635474075], [2.3364093884501678, 48.816594921346734], [2.336696421521, 48.81623184941679], [2.3360197650504344, 48.81413502455946], [2.3360522881802117, 48.81337859574719], [2.336341494495659, 48.812574970636696]], ""type"": ""LineString""}"
6124,A6A_Y_Orleans_bretelle_4,2025-07-23T20:00:00+02:00,,,Inconnu,3175,SE_A6A-Orleans_bretelle_4,3153,A6A_Y,Invalide,1998-04-10,2023-01-01,"48.81652476360582, 2.3345868832213594","{""coordinates"": [[2.330453224777017, 48.818847726799376], [2.3316674305495932, 48.818589336420175], [2.3324914986646426, 48.81840219106517], [2.33308186522745, 48.81813213565216], [2.333885425078611, 48.81761440558156], [2.3350508115237667, 48.81692693625309], [2.3358735972736913, 48.816701635474075], [2.3364093884501678, 48.816594921346734], [2.336696421521, 48.81623184941679], [2.3360197650504344, 48.81413502455946], [2.3360522881802117, 48.81337859574719], [2.336341494495659, 48.812574970636696]], ""type"": ""LineString""}"
5465,AE_A3_bretelle_1,2024-11-07T13:00:00+01:00,1454.0,7.7,Fluide,3538,A3_bretelle_1,2829,AE_A3,Ouvert,1996-11-07,2023-01-01,"48.86737864580919, 2.413970780415665","{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
6124,A6A_Y_Orleans_bretelle_4,2025-07-23T18:00:00+02:00,,,Inconnu,3175,SE_A6A-Orleans_bretelle_4,3153,A6A_Y,Invalide,1998-04-10,2023-01-01,"48.81652476360582, 2.3345868832213594","{""coordinates"": [[2.330453224777017, 48.818847726799376], [2.3316674305495932, 48.818589336420175], [2.3324914986646426, 48.81840219106517], [2.33308186522745, 48.81813213565216], [2.333885425078611, 48.81761440558156], [2.3350508115237667, 48.81692693625309], [2.3358735972736913, 48.816701635474075], [2.3364093884501678, 48.816594921346734], [2.336696421521, 48.81623184941679], [2.3360197650504344, 48.81413502455946], [2.3360522881802117, 48.81337859574719], [2.336341494495659, 48.812574970636696]], ""type"": ""LineString""}"
5472,AE_A1_bretelle_8,2024-11-07T13:00:00+01:00,,,Inconnu,3557,Chapelle_bretelle_8,2839,AE_A1_bretelle_8,Ouvert,1996-11-07,2023-01-01,"48.901200511043655, 2.3577520024414915","{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5472,AE_A1_bretelle_8,2024-11-07T12:00:00+01:00,,,Inconnu,3557,Chapelle_bretelle_8,2839,AE_A1_bretelle_8,Ouvert,1996-11-07,2023-01-01,"48.901200511043655, 2.3577520024414915","{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5472,AE_A1_bretelle_8,2025-01-09T11:00:00+01:00,,,Inconnu,3557,Chapelle_bretelle_8,2839,AE_A1_bretelle_8,Ouvert,1996-11-07,2023-01-01,"48.901200511043655, 2.3577520024414915","{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
6088,AE_A6A_bretelle_8,2025-12-03T12:00:00+01:00,,,Inconnu,447,A6A_W,456,SE_Gentilly-AE_A6A,Ouvert,1997-12-17,2023-01-01,"48.81644714798046, 2.339013495435139","{""coordinates"": [[2.336782480836486, 48.815300095795244], [2.3371978486170626, 48.81624814786545], [2.3374582022794543, 48.81650299253923], [2.3378199568949225, 48.816704848837176], [2.338096625633866, 48.816724107634485], [2.3418359646445883, 48.816481679800766]], ""type"": ""LineString""}"
6088,AE_A6A_bretelle_8,2025-12-03T10:00:00+01:00,,,Inconnu,447,A6A_W,456,SE_Gentilly-AE_A6A,Ouvert,1997-12-17,2023-01-01,"48.81644714798046, 2.339013495435139","{""coordinates"": [[2.336782480836486, 48.815300095795244], [2.3371978486170626, 48.81624814786545], [2.3374582022794543, 48.81650299253923], [2.3378199568949225, 48.816704848837176], [2.338096625633866, 48.816724107634485], [2.3418359646445883, 48.816481679800766]], ""type"": ""LineString""}"
6088,AE_A6A_bretelle_8,2025-12-03T08:00:00+01:00,,,Inconnu,447,A6A_W,456,SE_Gentilly-AE_A6A,Ouvert,1997-12-17,2023-01-01,"48.81644714798046, 2.339013495435139","{""coordinates"": [[2.336782480836486, 48.815300095795244], [2.3371978486170626, 48.81624814786545], [2.3374582022794543, 48.81650299253923], [2.3378199568949225, 48.816704848837176], [2.338096625633866, 48.816724107634485], [2.3418359646445883, 48.816481679800766]], ""type"": ""LineString""}"
6088,AE_A6A_bretelle_8,2025-12-03T06:00:00+01:00,,,Inconnu,447,A6A_W,456,SE_Gentilly-AE_A6A,Ouvert,1997-12-17,2023-01-01,"48.81644714798046, 2.339013495435139","{""coordinates"": [[2.336782480836486, 48.815300095795244], [2.3371978486170626, 48.81624814786545], [2.3374582022794543, 48.81650299253923], [2.3378199568949225, 48.816704848837176], [2.338096625633866, 48.816724107634485], [2.3418359646445883, 48.816481679800766]], ""type"": ""LineString""}"
6088,AE_A6A_bretelle_8,2025-12-03T04:00:00+01:00,,,Inconnu,447,A6A_W,456,SE_Gentilly-AE_A6A,Ouvert,1997-12-17,2023-01-01,"48.81644714798046, 2.339013495435139","{""coordinates"": [[2.336782480836486, 48.815300095795244], [2.3371978486170626, 48.81624814786545], [2.3374582022794543, 48.81650299253923], [2.3378199568949225, 48.816704848837176], [2.338096625633866, 48.816724107634485], [2.3418359646445883, 48.816481679800766]], ""type"": ""LineString""}"
6088,AE_A6A_bretelle_8,2025-12-03T03:00:00+01:00,,,Inconnu,447,A6A_W,456,SE_Gentilly-AE_A6A,Ouvert,1997-12-17,2023-01-01,"48.81644714798046, 2.339013495435139","{""coordinates"": [[2.336782480836486, 48.815300095795244], [2.3371978486170626, 48.81624814786545], [2.3374582022794543, 48.81650299253923], [2.3378199568949225, 48.816704848837176], [2.338096625633866, 48.816724107634485], [2.3418359646445883, 48.816481679800766]], ""type"": ""LineString""}"
6088,AE_A6A_bretelle_8,2025-12-03T02:00:00+01:00,,,Inconnu,447,A6A_W,456,SE_Gentilly-AE_A6A,Ouvert,1997-12-17,2023-01-01,"48.81644714798046, 2.339013495435139","{""coordinates"": [[2.336782480836486, 48.815300095795244], [2.3371978486170626, 48.81624814786545], [2.3374582022794543, 48.81650299253923], [2.3378199568949225, 48.816704848837176], [2.338096625633866, 48.816724107634485], [2.3418359646445883, 48.816481679800766]], ""type"": ""LineString""}"
5462,AE_A4_bretelle_11,2025-10-10T19:00:00+02:00,,19.85,Pré-saturé,2865,A4W,3156,Bercy_bretelles_7-11,Ouvert,1996-11-07,2023-01-01,"48.82639270403309, 2.3922636521497997","{""coordinates"": [[2.392472238153124, 48.82564016646078], [2.392089926647914, 48.82636848688473], [2.3921779059713386, 48.82677282393933], [2.3925203327652027, 48.827080538995425]], ""type"": ""LineString""}"
5462,AE_A4_bretelle_11,2025-10-10T16:00:00+02:00,,19.35,Pré-saturé,2865,A4W,3156,Bercy_bretelles_7-11,Ouvert,1996-11-07,2023-01-01,"48.82639270403309, 2.3922636521497997","{""coordinates"": [[2.392472238153124, 48.82564016646078], [2.392089926647914, 48.82636848688473], [2.3921779059713386, 48.82677282393933], [2.3925203327652027, 48.827080538995425]], ""type"": ""LineString""}"
5465,AE_A3_bretelle_1,2025-10-10T19:00:00+02:00,1404.0,7.1,Fluide,3538,A3_bretelle_1,2829,AE_A3,Ouvert,1996-11-07,2023-01-01,"48.86737864580919, 2.413970780415665","{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
5465,AE_A3_bretelle_1,2025-10-10T18:00:00+02:00,1136.0,5.7,Fluide,3538,A3_bretelle_1,2829,AE_A3,Ouvert,1996-11-07,2023-01-01,"48.86737864580919, 2.413970780415665","{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
6088,AE_A6A_bretelle_8,2025-12-03T14:00:00+01:00,,,Inconnu,447,A6A_W,456,SE_Gentilly-AE_A6A,Ouvert,1997-12-17,2023-01-01,"48.81644714798046, 2.339013495435139","{""coordinates"": [[2.336782480836486, 48.815300095795244], [2.3371978486170626, 48.81624814786545], [2.3374582022794543, 48.81650299253923], [2.3378199568949225, 48.816704848837176], [2.338096625633866, 48.816724107634485], [2.3418359646445883, 48.816481679800766]], ""type"": ""LineString""}"
774,A6A_W_bretelle_9,2025-01-06T09:00:00+01:00,2107.0,57.75,Bloqué,447,A6A_W,446,A6A_W-Hyacinthe_Vincent,Ouvert,1996-10-03,2023-01-01,"48.81786626431942, 2.3337457894318816","{""coordinates"": [[2.336782480836486, 48.815300095795244], [2.3369114433934226, 48.81600520084568], [2.3367910086545387, 48.816438144411315], [2.336588683582271, 48.816657874920814], [2.3363725127639015, 48.8168342947883], [2.3357995521513053, 48.81708754585312], [2.3351236727393547, 48.81728370457711], [2.333784269327106, 48.81815747469157], [2.332678054960424, 48.818669431955286], [2.3301628840167847, 48.81920613286766], [2.329544925974616, 48.819338323483336]], ""type"": ""LineString""}"
6124,A6A_Y_Orleans_bretelle_4,2024-12-05T01:00:00+01:00,,,Inconnu,3175,SE_A6A-Orleans_bretelle_4,3153,A6A_Y,Invalide,1998-04-10,2023-01-01,"48.81652476360582, 2.3345868832213594","{""coordinates"": [[2.330453224777017, 48.818847726799376], [2.3316674305495932, 48.818589336420175], [2.3324914986646426, 48.81840219106517], [2.33308186522745, 48.81813213565216], [2.333885425078611, 48.81761440558156], [2.3350508115237667, 48.81692693625309], [2.3358735972736913, 48.816701635474075], [2.3364093884501678, 48.816594921346734], [2.336696421521, 48.81623184941679], [2.3360197650504344, 48.81413502455946], [2.3360522881802117, 48.81337859574719], [2.336341494495659, 48.812574970636696]], ""type"": ""LineString""}"
6124,A6A_Y_Orleans_bretelle_4,2024-12-05T04:00:00+01:00,,,Inconnu,3175,SE_A6A-Orleans_bretelle_4,3153,A6A_Y,Invalide,1998-04-10,2023-01-01,"48.81652476360582, 2.3345868832213594","{""coordinates"": [[2.330453224777017, 48.818847726799376], [2.3316674305495932, 48.818589336420175], [2.3324914986646426, 48.81840219106517], [2.33308186522745, 48.81813213565216], [2.333885425078611, 48.81761440558156], [2.3350508115237667, 48.81692693625309], [2.3358735972736913, 48.816701635474075], [2.3364093884501678, 48.816594921346734], [2.336696421521, 48.81623184941679], [2.3360197650504344, 48.81413502455946], [2.3360522881802117, 48.81337859574719], [2.336341494495659, 48.812574970636696]], ""type"": ""LineString""}"
6124,A6A_Y_Orleans_bretelle_4,2024-12-05T05:00:00+01:00,,,Inconnu,3175,SE_A6A-Orleans_bretelle_4,3153,A6A_Y,Invalide,1998-04-10,2023-01-01,"48.81652476360582, 2.3345868832213594","{""coordinates"": [[2.330453224777017, 48.818847726799376], [2.3316674305495932, 48.818589336420175], [2.3324914986646426, 48.81840219106517], [2.33308186522745, 48.81813213565216], [2.333885425078611, 48.81761440558156], [2.3350508115237667, 48.81692693625309], [2.3358735972736913, 48.816701635474075], [2.3364093884501678, 48.816594921346734], [2.336696421521, 48.81623184941679], [2.3360197650504344, 48.81413502455946], [2.3360522881802117, 48.81337859574719], [2.336341494495659, 48.812574970636696]], ""type"": ""LineString""}"
6124,A6A_Y_Orleans_bretelle_4,2024-12-05T06:00:00+01:00,,,Inconnu,3175,SE_A6A-Orleans_bretelle_4,3153,A6A_Y,Invalide,1998-04-10,2023-01-01,"48.81652476360582, 2.3345868832213594","{""coordinates"": [[2.330453224777017, 48.818847726799376], [2.3316674305495932, 48.818589336420175], [2.3324914986646426, 48.81840219106517], [2.33308186522745, 48.81813213565216], [2.333885425078611, 48.81761440558156], [2.3350508115237667, 48.81692693625309], [2.3358735972736913, 48.816701635474075], [2.3364093884501678, 48.816594921346734], [2.336696421521, 48.81623184941679], [2.3360197650504344, 48.81413502455946], [2.3360522881802117, 48.81337859574719], [2.336341494495659, 48.812574970636696]], ""type"": ""LineString""}"
